CustomerID,gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,Churn_Binary,Cluster
1,Female,0,No,1,No,No,DSL,Month-to-month,25,Yes,1,1
2,Male,0,No,41,Yes,No,DSL,One year,25,No,0,1
3,Female,0,Yes,52,Yes,No,DSL,Month-to-month,19,No,0,1
4,Female,0,No,1,Yes,No,DSL,One year,76,Yes,1,0
5,Male,0,No,67,Yes,No,Fiber optic,Month-to-month,51,No,0,2
6,Female,1,No,68,Yes,Yes,Fiber optic,Month-to-month,90,Yes,1,3
7,Female,0,Yes,23,Yes,Yes,Fiber optic,Month-to-month,77,No,0,0
8,Male,0,Yes,72,Yes,No,DSL,Month-to-month,72,No,0,2
9,Male,0,No,70,Yes,Yes,Fiber optic,Month-to-month,104,Yes,1,2
10,Male,0,No,1,Yes,No,DSL,One year,19,Yes,1,1
11,Male,0,No,1,Yes,No,DSL,Month-to-month,20,No,0,1
12,Male,0,Yes,34,Yes,No,DSL,Two year,84,No,0,2
13,Male,1,Yes,28,Yes,Yes,Fiber optic,One year,51,No,0,3
14,Female,1,No,18,Yes,Yes,Fiber optic,Month-to-month,85,Yes,1,3
15,Female,0,No,15,Yes,No,Fiber optic,Month-to-month,20,No,0,1
16,Female,1,No,11,Yes,Yes,Fiber optic,Two year,95,Yes,1,3
17,Male,0,No,11,Yes,No,DSL,One year,54,Yes,1,0
18,Male,0,Yes,1,Yes,Yes,Fiber optic,Two year,70,Yes,1,0
19,Female,0,Yes,37,Yes,No,DSL,Month-to-month,89,No,0,2
20,Male,0,Yes,22,Yes,No,Fiber optic,Month-to-month,89,Yes,1,0
21,Female,0,No,1,Yes,No,DSL,Month-to-month,70,No,0,0
22,Female,0,Yes,1,Yes,No,DSL,One year,19,No,0,1
23,Male,0,Yes,46,Yes,No,DSL,Month-to-month,80,No,0,2
24,Female,0,No,51,Yes,Yes,DSL,Two year,107,No,0,2
25,Female,0,No,41,Yes,No,DSL,Month-to-month,104,No,0,2
26,Female,0,No,5,Yes,No,DSL,Month-to-month,68,Yes,1,0
27,Female,0,No,45,Yes,Yes,Fiber optic,Month-to-month,89,Yes,1,2
28,Male,0,Yes,29,Yes,No,DSL,Month-to-month,60,No,0,1
29,Female,1,No,15,Yes,Yes,DSL,Two year,92,No,0,3
30,Male,0,No,72,No,No,DSL,Month-to-month,64,No,0,2
31,Male,0,No,50,Yes,Yes,Fiber optic,Two year,104,No,0,2
32,Male,0,Yes,27,Yes,No,Fiber optic,Month-to-month,21,No,0,1
33,Male,0,No,72,Yes,No,DSL,One year,85,No,0,2
34,Female,0,Yes,51,Yes,No,DSL,Month-to-month,70,No,0,2
35,Female,0,No,60,Yes,No,DSL,Month-to-month,94,No,0,2
36,Male,0,No,17,Yes,Yes,Fiber optic,Two year,19,No,0,1
37,Female,0,No,72,Yes,No,Fiber optic,Month-to-month,21,No,0,1
38,Female,0,No,33,Yes,No,Fiber optic,Month-to-month,104,Yes,1,2
39,Female,1,Yes,66,Yes,Yes,Fiber optic,Month-to-month,105,No,0,3
40,Female,0,Yes,69,Yes,Yes,Fiber optic,Month-to-month,104,Yes,1,2
41,Male,0,No,5,Yes,No,DSL,One year,70,Yes,1,0
42,Female,0,No,57,Yes,Yes,DSL,Two year,101,No,0,2
43,Female,1,No,8,Yes,No,DSL,One year,76,Yes,1,3
44,Female,0,No,14,Yes,Yes,DSL,Two year,51,No,0,0
